
Mark Apparatus Data
Order of edition citation: WH Treg NIV RP

Mk 1:1	χριστοῦ WH ] + υἱοῦ θεοῦ Treg NIV; υἱοῦ τοῦ θεοῦ RP
Mk 1:2	Καθὼς WH Treg NIV ] Ὡς RP • τῷ Ἠσαΐᾳ τῷ προφήτῃ WH Treg NIV ] τοῖς προφήταις RP •  Ἰδοὺ WH Treg NIV ] + ἐγὼ RP • σου WH Treg NIV ] + ἔμπροσθέν σου RP
Mk 1:4	ὁ WH Treg NIV ] – RP • ἐρήμῳ WH ] + καὶ Treg NIV RP
Mk 1:5	πάντες καὶ ἐβαπτίζοντο WH Treg NIV ] καὶ ἐβαπτίζοντο πάντες RP • ὑπ᾽ αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ WH Treg NIV ] ἐν τῷ Ἰορδάνῃ ποταμῷ ὑπ᾽ αὐτοῦ RP
Mk 1:6	καὶ ἦν WH Treg NIV ] Ἦν δὲ RP
Mk 1:8	ἐγὼ WH Treg NIV ] + μὲν RP • ὑμᾶς WH NIV ] + ἐν Treg RP • ἐν Treg NIV RP ] – WH
Mk 1:9	εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου WH Treg NIV ] ὑπὸ Ἰωάννου εἰς τὸν Ἰορδάνην RP
Mk 1:10	εὐθὺς WH Treg NIV ] εὐθέως RP • ἐκ WH Treg NIV ] ἀπὸ RP • ὡς WH Treg NIV ] ὡσεὶ RP • εἰς WH Treg NIV ] ἐπ᾽ RP
Mk 1:11	σοὶ WH Treg NIV ] ᾧ RP
Mk 1:13	ἦν WH Treg NIV ] + ἐκεῖ RP • τεσσεράκοντα ἡμέρας WH Treg NIV ] ἡμέρας τεσσεράκοντα RP
Mk 1:14	Καὶ μετὰ WH Treg ] Μετὰ δὲ NIV RP • εὐαγγέλιον WH Treg NIV ] + τῆς βασιλείας RP
Mk 1:16	Καὶ παράγων WH Treg NIV ] Περιπατῶν δὲ RP • ἀδελφὸν WH Treg NIV ] + αὐτοῦ τοῦ RP • ἀμφιβάλλοντας WH Treg NIV ] βάλλοντας ἀμφίβληστρον RP
Mk 1:18	εὐθὺς WH NIV ] εὐθέως RP Treg • δίκτυα WH Treg NIV ] + αὐτῶν RP
Mk 1:19	προβὰς WH Treg NIV ] ἐκεῖθεν RP
Mk 1:20	εὐθὺς WH Treg NIV ] εὐθέως RP
Mk 1:21	εὐθὺς WH NIV ] εὐθέως Treg RP • ἐδίδασκεν εἰς τὴν συναγωγήν Holmes WHmarg ] εἰσελθὼν εἰς τὴν συναγωγὴν ἐδίδασκεν WH Treg NIV RP
Mk 1:23	εὐθὺς WH NIV ] – Treg RP
Mk 1:24	Τί WH Treg NIV ] Ἔα τί RP
Mk 1:26	φωνῆσαν WH Treg NIV ] κράξαν RP
Mk 1:27	ἅπαντες WH Treg NIV ] πάντες RP • πρὸς ἑαυτοὺς Treg NIV RP ] αὐτοὺς WH • διδαχὴ καινή WH Treg NIV ] Τίς ἡ διδαχὴ ἡ καινὴ αὕτη ὅτι RP
Mk 1:28	καὶ ἐξῆλθεν WH Treg NIV ] Ἐξῆλθεν δὲ RP • πανταχοῦ WH Treg NIV ] – RP
Mk 1:29	εὐθὺς WH Treg NIV ] εὐθέως RP • ἐξελθόντες ἦλθον WH NIV RP ] ἐξελθὼν ἦλθεν Treg
Mk 1:30	εὐθὺς WH Treg NIV ] εὐθέως RP
Mk 1:31	χειρός WH NIV ] + αὐτῆς Treg RP • πυρετός WH Treg NIV ] + εὐθέως RP
Mk 1:32	ἔδυ NIV RP ] ἔδυσεν WH Treg
Mk 1:33	ἦν ὅλη ἡ πόλις ἐπισυνηγμένη WH Treg NIV ] ἡ πόλις ὅλη ἐπισυνηγμένη ἦν RP
Mk 1:34	αὐτόν Treg NIV RP ] + χριστὸν εἶναι WH 
Mk 1:36	κατεδίωξεν WH NIV ] κατεδίωξαν Treg RP • Σίμων WH NIV ] ὁ Σίμων Treg RP
Mk 1:37	εὗρον αὐτὸν καὶ WH Treg NIV ] εὑρόντες αὐτὸν RP • ζητοῦσίν σε WH Treg NIV ] σε ζητοῦσιν RP
Mk 1:38	ἀλλαχοῦ WH Treg NIV ] – RP • ἐξῆλθον WH Treg NIV ] ἐξελήλυθα RP
Mk 1:39	ἦλθεν WH Treg NIV ] ἦν RP • εἰς τὰς συναγωγὰς WH Treg NIV ] ἐν ταῖς συναγωγαῖς RP
Mk 1:40	γονυπετῶν WH ] + καὶ NIV; αὐτὸν καὶ Treg RP
Mk 1:41	καὶ WH Treg NIV ] Ὁ δὲ Ἰησοῦς RP • ὀργισθεὶς Holmes WHmarg ] σπλαγχνισθεὶς WH Treg NIV RP • αὐτοῦ ἥψατο WH Treg NIV ] ἥψατο αὐτοῦ RP
Mk 1:42	εὐθὺς WH Treg NIV ] εἰπόντος αὐτοῦ εὐθέως RP
Mk 1:43	εὐθὺς WH Treg NIV ] εὐθέως RP
Mk 1:45	ἐπ᾽ WH Treg NIV ] ἐν RP • πάντοθεν WH Treg NIV ] πανταχόθεν RP

Mk 2:1	εἰσελθὼν WH Treg NIV ] εἰσῆλθεν RP • ἡμερῶν WH Treg NIV ] + καὶ RP • ἐν οἴκῳ WH Treg NIV ] εἰς οἶκόν RP
Mk 2:2	καὶ WH NIV ] + εὐθέως Treg RP
Mk 2:3	φέροντες πρὸς αὐτὸν παραλυτικὸν WH NIV ] πρὸς αὐτὸν φέροντες παραλυτικὸν Treg; πρὸς αὐτὸν παραλυτικὸν φέροντες RP
Mk 2:4	προσενέγκαι WH NIV ] προσεγγίσαι Treg RP • ὅπου WH Treg NIV ] ἐφ᾽ ᾧ RP
Mk 2:5	καὶ ἰδὼν WH NIV ] ἰδὼν δὲ Treg RP • ἀφίενταί σου WH Treg NIV ] ἀφέωνταί σοι RP • ἁμαρτίαι WH Treg NIV ] + σου RP
Mk 2:7	βλασφημεῖ WH Treg NIV ] βλασφημίας RP
Mk 2:8	εὐθὺς WH Treg NIV ] εὐθέως RP • οὕτως WH Treg NIV ] + αὐτοὶ RP • λέγει WH Treg NIV ] εἶπεν RP
Mk 2:9	Ἀφίενταί WH Treg NIV ] Ἀφέωνταί RP • Ἔγειρε NIV ] Ἐγείρου WH Treg; Ἔγειραι RP • τὸν κράβαττόν σου WH Treg NIV ] σου τὸν κράββατον RP
Mk 2:10	ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας Treg ] ἀφιέναι ἁμαρτίας ἐπὶ τῆς γῆς WH NIV; ἀφιέναι ἐπὶ τῆς γῆς ἁμαρτίας RP
Mk 2:11	ἔγειρε WH Treg NIV ] ἔγειραι καὶ RP
Mk 2:12	καὶ εὐθὺς WH Treg NIV ] εὐθέως καὶ RP • ἔμπροσθεν WH NIV ] ἐναντίον Treg RP • Οὕτως οὐδέποτε WH Treg NIV ] Οὐδέποτε οὕτως RP
Mk 2:15	γίνεται WH NIV ] γίνεται ἐν τῷ Treg; ἐγένετο ἐν τῷ RP • ἠκολούθουν WH Treg NIV ] ἠκολούθησαν RP
Mk 2:16	τῶν Φαρισαίων WH Treg NIV ] καὶ οἱ Φαρισαῖοι RP • ἰδόντες WH NIV RP ] καὶ ἰδόντες Treg • ὅτι ἐσθίει WH NIV ] ὅτι ἤσθιεν Treg; αὐτὸν ἐσθίοντα RP • ἁμαρτωλῶν καὶ τελωνῶν WH Treg NIV ] τελωνῶν καὶ ἁμαρτωλῶν RP • Ὅτι WH Treg NIV ] Τί ὅτι RP • τελωνῶν καὶ ἁμαρτωλῶν WH NIV RP ] ἁμαρτωλῶν καὶ τῶν τελωνῶν Treg • ἐσθίει WH NIV ] + καὶ πίνει Treg RP
Mk 2:17	ὅτι WH NIV ] – Treg RP • ἁμαρτωλούς WH Treg NIV ] + εἰς μετάνοιαν RP
Mk 2:18	Φαρισαῖοι WH Treg NIV ] τῶν Φαρισαίων RP • μαθηταὶ WH Treg NIV ] – RP
Mk 2:19	ἔχουσιν τὸν νυμφίον μετ’ αὐτῶν WH Treg NIV ] μεθ᾽ ἑαυτῶν ἔχουσιν τὸν νυμφίον RP
Mk 2:20	ἐκείνῃ τῇ ἡμέρᾳ WH Treg NIV ] ἐκείναις ταῖς ἡμέραις RP
Mk 2:21	Οὐδεὶς WH Treg NIV ] Καὶ οὐδεὶς RP • ἱμάτιον παλαιόν WH Treg NIV ] ἱματίῳ παλαιῷ RP • ἀπ’ WH NIV ] – Treg RP
